Speaker,Start Time,End Time,Detection Duration,AdsTime Total Duration,Percentage of Total Duration
Meezan,36,45,9,115.487438,7.79305537975481
Meezan,48,77,29,115.487438,25.110956223654384
Meezan,76,85,9,115.487438,7.79305537975481
Meezan,88,109,21,115.487438,18.183795886094558
